city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471358,81,471358_81,XY_HMNB_XD_分宜县沁湖丽园$镇中心学校F1FD_L,XY_HMNB_L_XD_分宜县沁湖丽园$镇中心学校F1FD-7,114.685,27.8043,宏站,华为,县城,城区,447,29725,5,110,2017/9/29 0:00,99663,城市, 
新余市,分宜县,471358,82,471358_82,XY_HMNB_XD_分宜县沁湖丽园$镇中心学校F1FD_L,XY_HMNB_L_XD_分宜县沁湖丽园$镇中心学校F1FD-8,114.685,27.8043,宏站,华为,县城,城区,449,29725,5,210,2017/9/29 0:00,99664,城市, 
新余市,分宜县,471358,83,471358_83,XY_HMNB_XD_分宜县沁湖丽园$镇中心学校F1FD_L,XY_HMNB_L_XD_分宜县沁湖丽园$镇中心学校F1FD-9,114.685,27.8043,宏站,华为,县城,城区,448,29725,5,320,2017/9/29 0:00,99665,城市, 
新余市,分宜县,471369,81,471369_81,XY_HMNB_XD_分宜县青春康源$三元化肥F1FX_L,XY_HMNB_L_XD_分宜县青春康源$三元化肥F1FX-7,114.65,27.8014,宏站,华为,县城,城区,48,29725,5,0,2017/9/29 0:00,99666,城市, 
新余市,分宜县,471369,82,471369_82,XY_HMNB_XD_分宜县青春康源$三元化肥F1FX_L,XY_HMNB_L_XD_分宜县青春康源$三元化肥F1FX-8,114.65,27.8014,宏站,华为,县城,城区,50,29725,5,90,2017/9/29 0:00,99667,城市, 
新余市,分宜县,471369,83,471369_83,XY_HMNB_XD_分宜县青春康源$三元化肥F1FX_L,XY_HMNB_L_XD_分宜县青春康源$三元化肥F1FX-9,114.65,27.8014,宏站,华为,县城,城区,49,29725,5,240,2017/9/29 0:00,99668,城市, 
新余市,分宜县,471158,81,471158_81,XY_HMNB_XD_分宜县瓦子下村$湿地公园_景观塔F1FD_L,XY_HMNB_L_XD_分宜县瓦子下村$湿地公园景观塔F1FD-7,114.683,27.8272,宏站,华为,县城,城区,281,29725,5,0,2017/9/29 0:00,99669,城市, 
新余市,分宜县,471158,82,471158_82,XY_HMNB_XD_分宜县瓦子下村$湿地公园_景观塔F1FD_L,XY_HMNB_L_XD_分宜县瓦子下村$湿地公园景观塔F1FD-8,114.683,27.8272,宏站,华为,县城,城区,280,29725,5,100,2017/9/29 0:00,99670,城市, 
新余市,分宜县,471158,83,471158_83,XY_HMNB_XD_分宜县瓦子下村$湿地公园_景观塔F1FD_L,XY_HMNB_L_XD_分宜县瓦子下村$湿地公园景观塔F1FD-9,114.683,27.8272,宏站,华为,县城,城区,279,29725,5,270,2017/9/29 0:00,99671,城市, 
新余市,分宜县,471481,81,471481_81,XY_HMNB_XT_分宜道口边$欣荣驾校F1FD_L,XY_HMNB_L_XT_分宜道口边$欣荣驾校F1FD-7,114.69913,27.79697,宏站,华为,农村,农村,116,29445,5,60,2017/9/29 0:00,99672,农村, 
